"confirmados_pdia";"total_confirmados";"curados";"fallecidos";"cod_quien";"cod_cuando"
0;0;5;0;1;523
0;0;4;0;2;523
0;0;5;0;3;523
0;0;1;0;4;523
0;0;4;0;5;523
0;0;3;0;6;523
0;0;1;0;7;523
0;0;0;0;8;523
0;0;0;0;9;523
0;0;7;0;10;523
0;0;0;0;11;523
0;0;1;0;12;523
0;0;0;0;13;523
0;0;0;0;14;523
0;0;0;0;15;523
0;0;0;0;16;523
0;0;0;0;17;523
0;0;0;0;18;523
1;1;1;0;19;523
0;0;6;0;20;523
0;0;0;0;21;523
0;0;15;0;22;523
-1;-1;11;0;23;523
2;2;16;0;24;523
1;1;12;0;25;523
0;0;3;0;26;523
0;0;0;0;27;523
1;1;3;0;28;523
0;0;0;0;29;523
0;0;0;0;30;523
0;0;0;0;31;523
2;2;2;0;32;523
0;0;0;0;33;523
0;0;1;0;34;523
1;1;0;1;35;523
1;1;1;0;36;523
0;0;0;0;1;524
0;0;1;0;2;524
0;0;2;0;3;524
0;0;1;0;4;524
0;0;5;0;5;524
0;0;1;0;6;524
0;0;1;0;7;524
0;0;1;0;8;524
0;0;0;0;9;524
0;0;1;0;10;524
0;0;0;0;11;524
0;0;0;0;12;524
0;0;0;0;13;524
0;0;0;0;14;524
0;0;1;0;15;524
0;0;0;0;16;524
0;0;0;0;17;524
0;0;0;0;18;524
0;0;0;0;19;524
0;0;0;0;20;524
